# name | category | version | description | zip | tar.gz

anysearch | 网络与搜索 | 3.1.1 | 统一实时搜索引擎技能：通用网页搜索、垂直领域搜索（金融/学术/旅行/法律/代码等 17 个领域，先 get_sub_domains 发现子域再搜索）、并行批量搜索、整页内容提取。内置跨平台 CLI 脚本直接调用公开 HTTP 端点，无需安装 MCP 服务器。当用户需要「搜索/查资料/事实核查/读取网页内容/按股票号、CVE、DOI 等标识符查结构化信息/多个独立查询并行执行」时使用。匿名可用，API Key 可提升限额。 | https://iamsamyiok.github.io/skillhub/downloads/anysearch.zip | https://iamsamyiok.github.io/skillhub/downloads/anysearch.tar.gz
text-to-d2 | 开发工具 | 0.1.2 | 文本转 D2 图表（text-to-d2）：融合语义抽取与视觉交付——从长文本抽取逻辑结构（判断/条件/因果/角色/泳道分组，支持 evidence 溯源），自动映射为 shape 语义化 D2 图表，浏览器本地 WASM 渲染，产单文件离线交互预览页，可导出 SVG/PNG/PDF。适用于把文档/流程说明/事故分析/方案描述转成精美架构图、流程图、因果图。当用户要求把一段文字/文档转成图、画流程图/架构图/因果图时使用。text to diagram, d2, architecture diagram, flowchart | https://iamsamyiok.github.io/skillhub/downloads/text-to-d2.zip | https://iamsamyiok.github.io/skillhub/downloads/text-to-d2.tar.gz
text-to-diagram | 开发工具 | 1.3.1 | 把一段自由文本抽取为逻辑图结构化 JSON（nodes/links/groups/graphMeta）。当用户要求把文本转成流程图、因果图、协作图、逻辑图、示意图、时间线，或要求生成图示/画图/梳理流程时使用。Agent 只输出 JSON，绝不输出 SVG/HTML/Mermaid 或任何坐标尺寸，布局与渲染交给本地渲染器。 | https://iamsamyiok.github.io/skillhub/downloads/text-to-diagram.zip | https://iamsamyiok.github.io/skillhub/downloads/text-to-diagram.tar.gz
text-to-image | 图像生成 | 1.0.0 | 文字转图片（文生图）：把文字描述生成为海报、插画、产品概念图、营销素材、角色场景视觉草案等图片。当用户要求生成图片、画一张图、做海报/插画/配图/封面/壁纸，或提到"文生图""生成图片素材"时使用。有参考图需要修改时应使用图片编辑能力而非本技能的纯文生图流程。 | https://iamsamyiok.github.io/skillhub/downloads/text-to-image.zip | https://iamsamyiok.github.io/skillhub/downloads/text-to-image.tar.gz
typesafe-ai | 开发工具 | 1.0.0 | Build AI-powered software with TypeSafe: small units of AI intelligence you can use like programming primitives. Its System One models, including Jev, turn natural language and application state into typed judgments and probabilities that code can combine. Use when a feature needs programmable common sense, when brainstorming what AI could make possible in an app, or when an LLM prompt-and-parse step could become a structured decision. Applications include routing, ranking, extraction, verification, and interactive experiences. | https://iamsamyiok.github.io/skillhub/downloads/typesafe-ai.zip | https://iamsamyiok.github.io/skillhub/downloads/typesafe-ai.tar.gz
unslop | 写作工具 | 1.0.0 | 去除 AI 写作腔：提供仅审计检测或两遍重写（先诊断后重构）两种流程，编辑、审阅或改写 AI 生成内容使其读起来像人写的。当用户要求「去 AI 味」「拟人化」「修一下 AI 文本」「发布前润色」或文本中存在「让我们深入看看」等明显 AI 痕迹时使用。 | https://iamsamyiok.github.io/skillhub/downloads/unslop.zip | https://iamsamyiok.github.io/skillhub/downloads/unslop.tar.gz
use-tinyfish | 网络与搜索 | 1.0.0 | 使用 TinyFish 执行网页搜索、抓取 URL、读取页面、获取最新信息、来源可溯的问答、调研、查文档、看价格与产品页、数据提取、爬取与浏览器自动化。当用户要求搜索、查找、对比、从网页获取信息、总结某个 URL 或自动化网站操作时使用。 | https://iamsamyiok.github.io/skillhub/downloads/use-tinyfish.zip | https://iamsamyiok.github.io/skillhub/downloads/use-tinyfish.tar.gz
video-publish | 视频创作 | 2.1.0 | 为项目/产品制作宣传或解说视频并发布到 B 站，三种模式：①卡片模式（HTML卡片+配音+推镜，零录屏，最快）②录屏模式（Playwright CDP 真实录屏，支持真实 LLM 执行画面）③LLM 一键成稿（一句话主题→分镜表草稿）。TTS 供应商链（SiliconFlow CosyVoice2 自然女声→edge-tts→SAPI 兜底）按句生成保精确字幕，可选 BGM 闪避混音与 9:16 竖版裁切，biliup-rs 扫码登录投稿。当用户想"做宣传视频/功能演示视频/榜单盘点视频/发布B站投稿"时使用。 | https://iamsamyiok.github.io/skillhub/downloads/video-publish.zip | https://iamsamyiok.github.io/skillhub/downloads/video-publish.tar.gz
vision-for-dev | 开发调试 | 1.0.0 | 视觉辅助开发技能：用「识图模型审查 + 像素级测量 + 源码交叉验证」三轨闭环排障 GUI 程序界面问题（豆腐块乱码、按钮重叠、布局错位、黑边阴影、字体渲染等），覆盖交叉编译 + Wine/Xvfb 虚拟显示运行 + 自动化交互截图 + 网页交付的全流程。当用户想"界面显示不对/截图看看效果/识图检查界面/修复显示问题/做功能截图页面"时使用。 | https://iamsamyiok.github.io/skillhub/downloads/vision-for-dev.zip | https://iamsamyiok.github.io/skillhub/downloads/vision-for-dev.tar.gz
world-generator | 前端开发 | 1.4.0 | 通用参数化 3D 世界生成器：AI 语义规划 + 程序几何求解，从 JSON 场景计划一键生成单文件 world.html（照片级 CC0 PBR 贴图内嵌、HDRI 实景 IBL、SSAO/SMAA 影视级后处理、圆角建筑与叶噪树冠，零运行时外部依赖），支持总图拼接 lint、渐进细化 refine、局部补丁 patch（布局 + 实例属性：旋转/缩放/材质/显隐/自定义元数据，配属性值指导库 props-library）与可视化点选编辑闭环。当用户需要生成或编辑 3D 场景、园区、别墅、校园等参数化世界时使用。 | https://iamsamyiok.github.io/skillhub/downloads/world-generator.zip | https://iamsamyiok.github.io/skillhub/downloads/world-generator.tar.gz
xlsx | 文档处理 | 1.0.0 | 电子表格处理技能：凡以表格文件为主要输入或输出的任务即触发——打开、读取、编辑、修复现有 .xlsx/.xlsm/.xltx/.csv/.tsv（加列、算公式、排版、做图、清洗脏数据），从零或从其他数据源新建表格，表格格式互转，以及把混乱的表格数据整理成规范表格。当用户按名字或路径提到某个表格文件（如「我下载夹里的 xlsx」）并想处理它时使用；最终交付物为 Word、HTML 报告、独立脚本等场景请勿使用。 | https://iamsamyiok.github.io/skillhub/downloads/xlsx.zip | https://iamsamyiok.github.io/skillhub/downloads/xlsx.tar.gz
